"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","TEXT","2022-06-22 08:04:17 UTC","","",TRUE,1655885057048,"C","sp","z"
"","TEXT","2022-06-22 06:07:32 UTC","","",FALSE,1655878052892,"C","sp","z"
"","MEDIA","2022-06-22 06:07:32 UTC","","",FALSE,1655878052774,"C","sp","z"
"","TEXT","2022-06-22 06:07:19 UTC","","",FALSE,1655878039366,"C","sp","z"
"","MEDIA","2022-06-22 06:07:19 UTC","","",FALSE,1655878039250,"C","sp","z"
"","TEXT","2022-06-22 06:06:56 UTC","","",FALSE,1655878016622,"C","sp","z"
"","MEDIA","2022-06-22 06:06:56 UTC","","",FALSE,1655878016386,"C","sp","z"
"","TEXT","2022-06-21 07:03:08 UTC","","",FALSE,1655794988324,"C","sp","z"
"","MEDIA","2022-06-21 07:03:08 UTC","","",FALSE,1655794988168,"C","sp","z"
"","TEXT","2022-06-21 07:02:37 UTC","","",TRUE,1655794957053,"C","sp","z"
"","TEXT","2022-06-21 07:01:25 UTC","","",FALSE,1655794885055,"C","sp","z"
"","MEDIA","2022-06-21 07:01:24 UTC","","",FALSE,1655794884880,"C","sp","z"
"","MEDIA","2022-06-21 07:01:19 UTC","","",FALSE,1655794879833,"C","sp","z"
"","MEDIA","2022-06-21 07:01:05 UTC","","",TRUE,1655794865081,"C","sp","z"
"","MEDIA","2022-06-21 07:00:58 UTC","","",TRUE,1655794858828,"C","sp","z"
"","TEXT","2022-06-21 07:00:57 UTC","","",FALSE,1655794857454,"C","sp","z"
"","MEDIA","2022-06-21 07:00:46 UTC","","",TRUE,1655794846801,"C","sp","z"
"","TEXT","2022-06-21 07:00:39 UTC","","",TRUE,1655794839272,"C","sp","z"
"","MEDIA","2022-06-21 07:00:38 UTC","","",TRUE,1655794838946,"C","sp","z"
"","TEXT","2022-06-19 09:14:18 UTC","","",FALSE,1655630058337,"C","sp","z"
"","TEXT","2022-06-19 09:14:14 UTC","","",FALSE,1655630054029,"C","sp","z"
"","TEXT","2022-06-19 09:03:50 UTC","","",TRUE,1655629430781,"C","sp","z"
"","TEXT","2022-06-19 09:03:39 UTC","","",TRUE,1655629419252,"C","sp","z"
"","TEXT","2022-06-15 07:26:19 UTC","","",FALSE,1655277979303,"C","sp","z"
"","MEDIA","2022-06-15 07:26:19 UTC","","",FALSE,1655277979070,"C","sp","z"
"","TEXT","2022-06-05 14:42:17 UTC","","",FALSE,1654440137626,"C","sp","z"
"","TEXT","2022-06-05 14:34:18 UTC","","",TRUE,1654439658530,"C","sp","z"
"","TEXT","2022-06-05 14:32:47 UTC","","",TRUE,1654439567577,"C","sp","z"
"","TEXT","2022-06-05 14:19:31 UTC","","",FALSE,1654438771838,"C","sp","z"
"","TEXT","2022-06-01 15:11:54 UTC","","",FALSE,1654096314512,"C","sp","z"
"","MEDIA","2022-06-01 15:11:54 UTC","","",FALSE,1654096314360,"C","sp","z"
"","TEXT","2022-05-30 07:11:22 UTC","","",FALSE,1653894682562,"C","sp","z"
"","MEDIA","2022-05-30 07:11:22 UTC","","",FALSE,1653894682353,"C","sp","z"
"","TEXT","2022-05-30 07:10:50 UTC","","",TRUE,1653894650128,"C","sp","z"
"","TEXT","2022-05-30 07:06:48 UTC","","",FALSE,1653894408755,"C","sp","z"
"","MEDIA","2022-05-30 07:06:48 UTC","","",FALSE,1653894408480,"C","sp","z"
"","TEXT","2022-05-16 07:14:15 UTC","","",TRUE,1652685255113,"C","sp","z"
"","TEXT","2022-05-16 06:50:32 UTC","","",FALSE,1652683832544,"C","sp","z"
"","TEXT","2022-05-16 06:50:12 UTC","","",FALSE,1652683812670,"C","sp","z"
"","TEXT","2022-05-16 06:36:35 UTC","","",TRUE,1652682995851,"C","sp","z"
"","TEXT","2022-05-16 06:36:19 UTC","","",TRUE,1652682979550,"C","sp","z"
"","TEXT","2022-05-16 06:35:59 UTC","","",TRUE,1652682959748,"C","sp","z"
"","TEXT","2022-05-16 06:35:43 UTC","","",TRUE,1652682943663,"C","sp","z"
"","TEXT","2022-05-16 06:35:27 UTC","","",FALSE,1652682927057,"C","sp","z"
"","TEXT","2022-05-16 06:35:12 UTC","","",FALSE,1652682912237,"C","sp","z"
"","TEXT","2022-05-16 06:35:02 UTC","","",TRUE,1652682902054,"C","sp","z"
"","TEXT","2022-05-16 06:34:58 UTC","","",FALSE,1652682898376,"C","sp","z"
"","TEXT","2022-05-16 06:34:48 UTC","","",TRUE,1652682888373,"C","sp","z"
"","MEDIA","2022-05-16 06:34:43 UTC","","",TRUE,1652682883679,"C","sp","z"
"","TEXT","2022-05-15 21:23:01 UTC","","",FALSE,1652649781710,"C","sp","z"
"","MEDIA","2022-05-15 21:23:01 UTC","","",FALSE,1652649781413,"C","sp","z"
"","TEXT","2022-04-20 14:27:20 UTC","","",FALSE,1650464840373,"C","sp","z"
"","MEDIA","2022-04-20 14:27:20 UTC","","",FALSE,1650464840214,"C","sp","z"
"","TEXT","2022-04-06 07:53:56 UTC","","",FALSE,1649231636957,"C","sp","z"
"","MEDIA","2022-04-06 07:53:56 UTC","","",FALSE,1649231636735,"C","sp","z"
