"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","TEXT","2022-11-22 00:22:23 UTC","","",TRUE,1669076543580,"G","sp","a"
"","TEXT","2022-11-22 00:22:12 UTC","","",TRUE,1669076532385,"G","sp","a"
"","TEXT","2022-11-22 00:22:11 UTC","","",FALSE,1669076531461,"G","sp","a"
"","TEXT","2022-11-22 00:21:57 UTC","","",TRUE,1669076517496,"G","sp","a"
"","TEXT","2022-11-22 00:21:35 UTC","","",TRUE,1669076495879,"G","sp","a"
"","TEXT","2022-11-22 00:21:32 UTC","","",FALSE,1669076492581,"G","sp","a"
"","TEXT","2022-11-22 00:21:28 UTC","","",FALSE,1669076488574,"G","sp","a"
"","TEXT","2022-11-22 00:21:16 UTC","","",FALSE,1669076476584,"G","sp","a"
"","TEXT","2022-11-22 00:21:09 UTC","","",TRUE,1669076469166,"G","sp","a"
"","TEXT","2022-11-22 00:21:03 UTC","","",FALSE,1669076463342,"G","sp","a"
"","TEXT","2022-11-22 00:21:00 UTC","","",FALSE,1669076460817,"G","sp","a"
"","TEXT","2022-11-22 00:20:53 UTC","","",FALSE,1669076453929,"G","sp","a"
"","TEXT","2022-11-22 00:20:13 UTC","","",TRUE,1669076413613,"G","sp","a"
"","TEXT","2022-11-22 00:19:14 UTC","","",TRUE,1669076354327,"G","sp","a"
"","TEXT","2022-11-22 00:18:50 UTC","","",TRUE,1669076330935,"G","sp","a"
"","TEXT","2022-11-22 00:18:42 UTC","","",TRUE,1669076322630,"G","sp","a"
"","TEXT","2022-11-22 00:18:27 UTC","","",TRUE,1669076307953,"G","sp","a"
"","TEXT","2022-11-22 00:18:20 UTC","","",TRUE,1669076300224,"G","sp","a"
"","TEXT","2022-11-22 00:18:18 UTC","","",TRUE,1669076298713,"G","sp","a"
"","TEXT","2022-11-22 00:18:11 UTC","","",TRUE,1669076291487,"G","sp","a"
"","TEXT","2022-11-22 00:17:59 UTC","","",TRUE,1669076279859,"G","sp","a"
"","MEDIA","2022-11-22 00:17:57 UTC","","",TRUE,1669076277108,"G","sp","a"
"","TEXT","2022-11-22 00:17:26 UTC","","",TRUE,1669076246818,"G","sp","a"
"","TEXT","2022-11-22 00:17:11 UTC","","",TRUE,1669076231760,"G","sp","a"
"","TEXT","2022-11-22 00:16:16 UTC","","",TRUE,1669076176717,"G","sp","a"
"","TEXT","2022-11-22 00:16:02 UTC","","",TRUE,1669076162870,"G","sp","a"
"","TEXT","2022-11-22 00:15:55 UTC","","",FALSE,1669076155462,"G","sp","a"
"","TEXT","2022-11-22 00:15:51 UTC","","",TRUE,1669076151172,"G","sp","a"
"","TEXT","2022-11-22 00:15:39 UTC","","",FALSE,1669076139510,"G","sp","a"
