"person","app","day","month","year","strDate","date"
"f","mg","28","08","2019","28-08-2019","20190828"
"f","mg","28","08","2019","28-08-2019","20190828"
"f","mg","27","08","2019","27-08-2019","20190827"
"f","mg","27","08","2019","27-08-2019","20190827"
"f","mg","26","08","2019","26-08-2019","20190826"
"f","mg","26","08","2019","26-08-2019","20190826"
"f","mg","26","08","2019","26-08-2019","20190826"
"f","mg","26","08","2019","26-08-2019","20190826"
"f","mg","25","08","2019","25-08-2019","20190825"
"f","mg","18","08","2019","18-08-2019","20190818"
"f","mg","27","07","2019","27-07-2019","20190727"
"f","mg","23","07","2019","23-07-2019","20190723"
"f","mg","19","07","2019","19-07-2019","20190719"
"f","mg","19","07","2019","19-07-2019","20190719"
"f","mg","18","07","2019","18-07-2019","20190718"
"f","mg","16","07","2019","16-07-2019","20190716"
"f","mg","13","07","2019","13-07-2019","20190713"
"f","mg","12","07","2019","12-07-2019","20190712"
"f","mg","12","07","2019","12-07-2019","20190712"
"f","mg","12","07","2019","12-07-2019","20190712"
"f","mg","11","07","2019","11-07-2019","20190711"
"f","mg","11","07","2019","11-07-2019","20190711"
"f","mg","11","07","2019","11-07-2019","20190711"
"f","mg","11","07","2019","11-07-2019","20190711"
"f","mg","09","07","2019","09-07-2019","20190709"
"f","mg","05","07","2019","05-07-2019","20190705"
"f","mg","04","07","2019","04-07-2019","20190704"
"f","mg","04","07","2019","04-07-2019","20190704"
"f","mg","30","06","2019","30-06-2019","20190630"
"f","mg","28","06","2019","28-06-2019","20190628"
"f","mg","28","06","2019","28-06-2019","20190628"
"f","mg","12","06","2019","12-06-2019","20190612"
"f","mg","02","06","2019","02-06-2019","20190602"
"f","mg","01","06","2019","01-06-2019","20190601"
"f","mg","01","06","2019","01-06-2019","20190601"
"f","mg","01","06","2019","01-06-2019","20190601"
"f","mg","01","06","2019","01-06-2019","20190601"
"f","mg","31","05","2019","31-05-2019","20190531"
"f","mg","31","05","2019","31-05-2019","20190531"
"f","mg","31","05","2019","31-05-2019","20190531"
"f","mg","27","05","2019","27-05-2019","20190527"
"f","mg","25","05","2019","25-05-2019","20190525"
"f","mg","25","05","2019","25-05-2019","20190525"
"f","mg","12","05","2019","12-05-2019","20190512"
"f","mg","11","05","2019","11-05-2019","20190511"
"f","mg","19","04","2019","19-04-2019","20190419"
"f","mg","15","03","2019","15-03-2019","20190315"
"f","mg","15","03","2019","15-03-2019","20190315"
"f","mg","15","03","2019","15-03-2019","20190315"
"f","mg","15","03","2019","15-03-2019","20190315"
"f","mg","27","02","2019","27-02-2019","20190227"
"f","mg","19","02","2019","19-02-2019","20190219"
"f","mg","17","02","2019","17-02-2019","20190217"
"f","mg","15","02","2019","15-02-2019","20190215"
"f","mg","14","02","2019","14-02-2019","20190214"
"f","mg","13","02","2019","13-02-2019","20190213"
"f","mg","11","02","2019","11-02-2019","20190211"
"f","mg","11","02","2019","11-02-2019","20190211"
"f","mg","09","02","2019","09-02-2019","20190209"
"f","mg","22","01","2019","22-01-2019","20190122"
"f","mg","16","01","2019","16-01-2019","20190116"
"f","mg","30","12","2018","30-12-2018","20181230"
"f","mg","10","12","2018","10-12-2018","20181210"
"f","mg","13","11","2018","13-11-2018","20181113"
"f","mg","05","11","2018","05-11-2018","20181105"
"f","mg","05","11","2018","05-11-2018","20181105"
"f","mg","04","11","2018","04-11-2018","20181104"
"f","mg","04","11","2018","04-11-2018","20181104"
"f","mg","03","11","2018","03-11-2018","20181103"
"f","mg","17","10","2018","17-10-2018","20181017"
"f","mg","14","10","2018","14-10-2018","20181014"
"f","mg","06","09","2018","06-09-2018","20180906"
"f","mg","02","09","2018","02-09-2018","20180902"
"f","mg","20","08","2018","20-08-2018","20180820"
"f","mg","10","08","2018","10-08-2018","20180810"
"f","mg","20","07","2018","20-07-2018","20180720"
"f","mg","17","07","2018","17-07-2018","20180717"
"f","mg","17","07","2018","17-07-2018","20180717"
"f","mg","13","07","2018","13-07-2018","20180713"
